KOTAK MAHINDRA BANK LIMITED,,,,,,,
Statement of Account,,,,,,,
ACME RETAIL VENTURES PRIVATE LIMITED,,,,,,,
"Account No : 4711029384756    IFSC : KKBK0000958    Branch : Koramangala, Bengaluru",,,,,,,
Statement Period : 01/08/2026 to 28/08/2026,,,,,,,
,,,,,,,
Sl No,Txn Date,Value Date,Transaction Details,Chq/Ref Number,Withdrawal (Dr),Deposit (Cr),Balance (INR)
1,05/08/2026,05/08/2026,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-ACME RETAIL VENTURES-RZPX0000012345,,,"12,45,678.90","30,87,989.45"
2,05/08/2026,05/08/2026,IMPS DR/P2A/512345678901/CLOUDSPAN INFRA PVT LTD,512345678901,"1,180.00",,"30,86,809.45"
3,07/08/2026,07/08/2026,NEFT CR-KKBK0000958-RAZORPAY SOFTWARE PVT LTD-RZPX0000012456,,,"3,04,512.00","33,91,321.45"
4,11/08/2026,11/08/2026,RTGS DR-KKBKR52026081100012-VENDOR PAYOUT AUG WK2,KKBKR52026081100012,"45,000.00",,"33,46,321.45"
5,12/08/2026,12/08/2026,UPI/622401234567/COLLECT/ORCHID TRADERS,622401234567,,"87,650.25","34,33,971.70"
6,14/08/2026,14/08/2026,CHARGES/CONSOLIDATED STMT AUG2026 INCL GST,,"2,360.00",,"34,31,611.70"
7,18/08/2026,18/08/2026,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RZPX0000012701,,,"5,67,890.00","39,99,501.70"
8,21/08/2026,21/08/2026,SELF/FUND TRANSFER TO 4711029384799,,"1,00,000.00",,"38,99,501.70"
9,24/08/2026,24/08/2026,IMPS CR/512399887766/SUNRISE ENTERPRISES,512399887766,,"41,250.75","39,40,752.45"
10,26/08/2026,26/08/2026,NEFT CR-RATN0000088-RAZORPAY SOFTWARE PVT LTD-RZPX0000012701,,,"5,67,890.00","45,08,642.45"
11,27/08/2026,27/08/2026,RTGS DR-KKBKR52026082700041-SUPPLIER SETTLEMENT,KKBKR52026082700041,"8,42,000.00",,"36,66,642.45"
12,28/08/2026,28/08/2026,NEFT CR-HDFC0000060-BLUEBIRD LOGISTICS PVT LTD-INV 4471,,,"2,10,000.00","38,76,642.45"
,,,,,,,
"Opening Balance : 18,42,310.55",,,,,,,
"Total Withdrawals : 9,90,540.00",,,,,,,
"Total Deposits : 30,24,871.90",,,,,,,
"Closing Balance : 38,76,642.45",,,,,,,
This is a system generated statement and does not require a signature.,,,,,,,
*** End of Statement ***,,,,,,,
