YES BANK LIMITED,,,,,,
Account Statement,,,,,,
SEVENOAKS COMMERCE LLP,,,,,,
A/c No : 001784600000921    IFSC : YESB0000123,,,,,,
Period : 01-Aug-2026 to 28-Aug-2026,,,,,,
,,,,,,
Txn Date,Value Date,Particulars,Cheque No,Amount (INR),Dr/Cr,Running Balance (INR)
03-Aug-2026,03-Aug-2026,NEFT-YESB0000123-RAZORPAY SOFTWARE PVT LTD-RZPX0000031887,,"4,52,310.00",Cr,"10,72,765.00"
06-Aug-2026,06-Aug-2026,ATM WDL/YESB ATM MG ROAD/BENGALURU,,"20,000.00",Dr,"10,52,765.00"
09-Aug-2026,09-Aug-2026,UPI/629911223344/PAY/KRISHNA STORES,629911223344,"7,845.50",Dr,"10,44,919.50"
13-Aug-2026,13-Aug-2026,NEFT-YESB0000123-RAZORPAY SOFTWARE PVT LTD-RZPX0000032104,,"1,98,240.75",Cr,"12,43,160.25"
17-Aug-2026,17-Aug-2026,RTGS-YESBR12026081700088-QUARTERLY VENDOR SETTLEMENT,YESBR12026081700088,"3,10,000.00",Dr,"9,33,160.25"
22-Aug-2026,22-Aug-2026,IMPS/511122334455/NORTHWIND EXPORTS LLP,511122334455,"62,900.00",Cr,"9,96,060.25"
25-Aug-2026,25-Aug-2026,SERVICE CHARGES AUG 2026 INCL GST,,"1,416.00",Dr,"9,94,644.25"
28-Aug-2026,28-Aug-2026,NEFT-YESB0000123-RAZORPAY SOFTWARE PVT LTD-RZPX0000032590,,"2,74,118.25",Cr,"12,68,762.50"
,,,,,,
"Opening Balance : 6,20,455.00",,,,,,
"Closing Balance : 12,68,762.50",,,,,,
Please report discrepancies within 15 days.,,,,,,
*** End of Statement ***,,,,,,
